Pdial (inHg),left (cm),right (cm),,Patm =,27.97,inHg,
26.8,0,0,,T =,19.5,°C,
25.6,19,-18,,,,,,
24.5,33,-32,,,,,,
23.6,48,-47,,,,,,
22.5,63,-62,,,,,,
21.1,79,-78,,,,,,
20.0,95,-94,,,,,,
18.9,108,-107,,,,,,
17.6,123,-123,,,,,,
16.5,138,-137,,,,,,
15.3,154,-153,,,,,,
14.2,169,-168,,,,,,
13.2,183,-182,,,,,,
12.0,198,-198,,,,,,
10.9,212,-212,,,,,,
9.9,227,-227,,,,,,
8.5,243,-243,,,,,,
7.3,258,-257,,,,,,
6.1,273,-273,,,,,,
5.4,283,-283,,,,,,
4.8,290,-290,,,,,,
3.9,303,-303,,,,,,
2.6,317,-317,,,,,,
0.6,332,-332,,,,,,
