Pdial (inHg),left (cm),right (cm),,Patm =,26.33,inHg,
25.2,0,0,,T =,20.9,°C,
24.0,19,-18,,,,,,
22.9,33,-32,,,,,,
22.0,48,-47,,,,,,
20.9,63,-62,,,,,,
19.5,79,-78,,,,,,
18.4,95,-94,,,,,,
17.3,108,-107,,,,,,
16.0,123,-123,,,,,,
14.9,138,-137,,,,,,
13.7,154,-153,,,,,,
12.6,169,-168,,,,,,
11.6,183,-182,,,,,,
10.4,198,-198,,,,,,
9.3,212,-212,,,,,,
8.3,227,-227,,,,,,
6.9,243,-243,,,,,,
5.7,258,-257,,,,,,
4.5,273,-273,,,,,,
3.8,283,-283,,,,,,
3.2,290,-290,,,,,,
2.3,303,-303,,,,,,
1.0,317,-317,,,,,,
-1.0,332,-332,,,,,,
