Pdial (inHg),left (cm),right (cm),,Patm =,28.00,inHg,
26.8,0,0,,T =,33.3,°C,
25.6,20,-19,,,,,,
24.5,34,-33,,,,,,
23.6,49,-48,,,,,,
22.5,64,-63,,,,,,
21.1,80,-79,,,,,,
20.0,96,-95,,,,,,
18.9,109,-108,,,,,,
17.6,124,-124,,,,,,
16.5,139,-138,,,,,,
15.3,155,-154,,,,,,
14.2,170,-169,,,,,,
13.2,184,-183,,,,,,
12.0,199,-199,,,,,,
10.9,213,-213,,,,,,
9.9,228,-228,,,,,,
8.5,244,-244,,,,,,
7.3,259,-258,,,,,,
6.1,274,-274,,,,,,
5.4,284,-284,,,,,,
4.8,291,-291,,,,,,
3.9,304,-304,,,,,,
2.6,318,-318,,,,,,
0.6,333,-333,,,,,,
