Pdial (inHg),left (cm),right (cm),,Patm =,27.25,inHg,
26.4,0,0,,T =,28.5,°C,
25.2,17,-16,,,,,,
24.1,31,-30,,,,,,
23.2,46,-45,,,,,,
22.1,61,-60,,,,,,
20.7,77,-76,,,,,,
19.6,93,-92,,,,,,
18.5,106,-105,,,,,,
17.2,121,-121,,,,,,
16.1,136,-135,,,,,,
14.9,152,-151,,,,,,
13.8,167,-166,,,,,,
12.8,181,-180,,,,,,
11.6,196,-196,,,,,,
10.5,210,-210,,,,,,
9.5,225,-225,,,,,,
8.1,241,-241,,,,,,
6.9,256,-255,,,,,,
5.7,271,-271,,,,,,
5.0,281,-281,,,,,,
4.4,288,-288,,,,,,
3.5,301,-301,,,,,,
2.2,315,-315,,,,,,
0.2,330,-330,,,,,,
