Pdial (inHg),left (cm),right (cm),,Patm =,28.66,inHg,
27.7,0,0,,T =,27.2,°C,
26.5,19,-18,,,,,,
25.4,33,-32,,,,,,
24.5,48,-47,,,,,,
23.4,63,-62,,,,,,
22.0,79,-78,,,,,,
20.9,95,-94,,,,,,
19.8,108,-107,,,,,,
18.5,123,-123,,,,,,
17.4,138,-137,,,,,,
16.2,154,-153,,,,,,
15.1,169,-168,,,,,,
14.1,183,-182,,,,,,
12.9,198,-198,,,,,,
11.8,212,-212,,,,,,
10.8,227,-227,,,,,,
9.4,243,-243,,,,,,
8.2,258,-257,,,,,,
7.0,273,-273,,,,,,
6.3,283,-283,,,,,,
5.7,290,-290,,,,,,
4.8,303,-303,,,,,,
3.5,317,-317,,,,,,
1.5,332,-332,,,,,,
